"time","zoneR1C1_AG.Y","zoneR1C1_AG.ventilation.y"
0,20,280.8988764044944
1800,21.9346926177414,89.37433226112935
1800,21.93469261767177,89.37433237246491
1800,21.93469261767177,89.37433237246491
3600,22.00265935997487,135.0240566494286
3600,22.00265935999505,135.0240566362838
3600,22.00265935999505,135.0240566362838
5400,22.00025070987567,126.5099761090256
5400,22.00025070987266,126.509976108818
5400,22.00025070987266,126.509976108818
7200,21.99998431944016,126.7461892711353
7200,21.99998431944044,126.7461892711439
7200,21.99998431944044,126.7461892711439
9000,22.00006198115187,125.9437058755697
9000,22.00006198115182,125.9437058751518
9000,22.00006198115182,125.9437058751518
10800,22.00003034928255,125.4451034111675
10800,22.0000303492825,125.4451034109287
10800,22.0000303492825,125.4451034109287
12600,22.00002507882414,125.0724509835397
12600,22.00002507882408,125.0724509833132
12600,22.00002507882408,125.0724509833132
14400,21.99993953137852,125.8137910866346
14400,21.99993953137857,125.8137910872895
14400,21.99993953137857,125.8137910872895
16200,21.99992295949471,126.928988250646
16200,21.99992295949482,126.9289882515818
16200,21.99992295949482,126.9289882515818
18000,21.99992084139734,128.0949276480201
18000,21.99992084139757,128.0949276490581
18000,21.99992084139757,128.0949276490581
19800,22.00014966814189,126.2391548761022
19800,22.00014966814189,126.2391548738164
19800,22.00014966814189,126.2391548738164
21600,22.00064430492665,117.5113549699023
21600,22.0006443049266,117.5113549590666
21600,22.0006443049266,117.5113549590666
23400,22.00044003099362,111.0674735611027
23400,22.00044003099322,111.0674735531769
23400,22.00044003099322,111.0674735531769
25200,22.00058479318483,103.0019249663787
25200,22.00058479318409,103.0019249551396
25200,22.00058479318409,103.0019249551396
27000,22.0007191650314,93.12307061855037
27000,22.00071916503111,93.12307060347743
27000,22.00071916503111,93.12307060347743
28800,22.00053149080304,85.46612559899432
28800,22.00053149080242,85.46612558722066
28800,22.00053149080242,85.46612558722066
30600,22.00063513752588,76.62803487071942
30600,22.0006351375248,76.6280348559407
30600,22.0006351375248,76.6280348559407
32400,22.00072718640962,66.44947243936092
32400,22.00072718640837,66.44947242140479
32400,22.00072718640837,66.44947242140479
34200,22.00064396755829,57.22544264966223
34200,22.00064396755738,57.22544263273286
34200,22.00064396755738,57.22544263273286
36000,22.0001223241951,54.99523235328863
36000,22.00012232419402,54.99523235017608
36000,22.00012232419402,54.99523235017608
37800,21.99994755222474,55.57524195156386
37800,21.99994755222474,55.57524195309328
37800,21.99994755222474,55.57524195309328
39600,22.00046870457845,49.41948292183375
39600,22.00046870457834,49.4194829073988
39600,22.00046870457834,49.4194829073988
41400,22.00012649081333,47.27932394407846
41400,22.00012649081219,47.27932394037951
41400,22.00012649081219,47.27932394037951
43200,22.00021755716477,44.29555772711002
43200,22.00021755716443,44.29555771995756
43200,22.00021755716443,44.29555771995756
45000,22.0002179352386,41.17729603337402
45000,22.00021793523757,41.17729602610106
45000,22.00021793523757,41.17729602610106
46800,21.99989459704176,42.3816715183074
46800,21.99989459704142,42.38167152223404
46800,21.99989459704142,42.38167152223404
48600,21.99958395221,47.98339907671679
48600,21.99958395220989,47.98339909251094
48600,21.99958395220989,47.98339909251094
50400,22.00096153128038,35.62663200542229
50400,22.00096153128146,35.62663196746259
50400,22.00096153128146,35.62663196746259
52200,21.99894224190206,48.71988397107137
52200,21.99894224189768,48.71988401533067
