time,zoneR1C1_AG_slower.Y
187200,21.99997785
187200,21.99997785
187200,21.99997785
189000,21.99993175
189000,21.99993175
189000,21.99993175
190800,21.99996438
190800,21.99996438
190800,21.99996438
192600,22.00010054
192600,22.00010054
192600,22.00010054
194400,22.00030151
194400,22.00030151
194400,22.00030151
196200,22.00054989
196200,22.00054989
196200,22.00054989
198000,22.00073413
198000,22.00073413
198000,22.00073413
199800,22.00075089
199800,22.00075089
199800,22.00075089
201600,22.00063278
201600,22.00063278
201600,22.00063278
203400,22.00057777
203400,22.00057777
203400,22.00057777
205200,22.00047153
205200,22.00047153
205200,22.00047153
207000,22.00043937
207000,22.00043937
207000,22.00043937
208800,22.00028392
208800,22.00028392
208800,22.00028392
210600,21.99991353
210600,21.99991353
210600,21.99991353
212400,21.9999732
212400,21.9999732
212400,21.9999732
214200,22.00018017
214200,22.00018017
214200,22.00018017
216000,22.00066131
216000,22.00066131
216000,22.00066131
217800,22.00007429
217800,22.00007429
217800,22.00007429
219600,22.01143866
219600,22.01143866
219600,22.01143866
221400,22.03860658
221400,22.03860658
221400,22.03860658
223200,22.04876285
223200,22.04876285
223200,22.04876285
225000,22.0293933
225000,22.0293933
225000,22.0293933
226800,21.98843122
226800,21.98843122
226800,21.98843122
228600,21.99334638
228600,21.99334638
228600,21.99334638
230400,22.00115677
230400,22.00115677
230400,22.00115677
232200,22.00411465
232200,22.00411465
232200,22.00411465
234000,22.00196874
234000,22.00196874
234000,22.00196874
235800,21.99890181
235800,21.99890181
235800,21.99890181
237600,21.99804745
237600,21.99804745
237600,21.99804745
239400,21.99921261
239400,21.99921261
239400,21.99921261
241200,22.00056109
241200,22.00056109
241200,22.00056109
243000,22.0008336
243000,22.0008336
243000,22.0008336
244800,22.00026714
244800,22.00026714
244800,22.00026714
246600,21.9997323
246600,21.9997323
246600,21.9997323
248400,21.99970308
248400,21.99970308
248400,21.99970308
250200,21.99998382
250200,21.99998382
250200,21.99998382
252000,22.00021182
252000,22.00021182
252000,22.00021182
253800,22.00020083
253800,22.00020083
253800,22.00020083
255600,22.00007258
255600,22.00007258
255600,22.00007258
257400,21.99999762
257400,21.99999762
257400,21.99999762
259200,22.00001898
259200,22.00001898
259200,22.00001898
261000,22.00007624
261000,22.00007624
261000,22.00007624
262800,22.00008568
262800,22.00008568
262800,22.00008568
264600,22.00005531
264600,22.00005531
264600,22.00005531
266400,22.00000722
266400,22.00000722
266400,22.00000722
268200,21.99999325
268200,21.99999325
268200,21.99999325
270000,21.99998704
270000,21.99998704
270000,21.99998704
271800,21.99996641
271800,21.99996641
271800,21.99996641
273600,21.99996433
273600,21.99996433
273600,21.99996433
275400,21.99999184
275400,21.99999184
275400,21.99999184
277200,22.00000544
277200,22.00000544
277200,22.00000544
279000,22.00003042
279000,22.00003042
279000,22.00003042
280800,22.00004035
280800,22.00004035
280800,22.00004035
282600,22.00013983
282600,22.00013983
282600,22.00013983
284400,22.00038465
284400,22.00038465
284400,22.00038465
286200,22.0011804
286200,22.0011804
286200,22.0011804
288000,22.00065464
288000,22.00065464
288000,22.00065464
289800,22.00074001
289800,22.00074001
289800,22.00074001
291600,22.01394837
291600,22.01394838
291600,22.01394838
293400,22.08124849
293400,22.08124849
293400,22.08124849
295200,22.12798177
295200,22.12798177
295200,22.12798177
297000,22.14169143
297000,22.14169143
297000,22.14169143
298800,22.18203753
298800,22.18203753
298800,22.18203753
300600,22.2606346
300600,22.2606346
300600,22.2606346
302400,22.36006254
302400,22.36006254
302400,22.36006254
304200,22.44297452
304200,22.44297452
304200,22.44297452
306000,22.50291477
306000,22.50291477
306000,22.50291477
307800,22.5353526
307800,22.5353526
307800,22.5353526
309600,22.53592778
309600,22.53592778
309600,22.53592778
311400,22.50159262
311400,22.50159261
311400,22.50159261
313200,22.43077357
313200,22.43077357
313200,22.43077357
315000,22.32413148
315000,22.32413148
315000,22.32413148
316800,22.18831265
316800,22.18831264
316800,22.18831264
318600,22.03649064
318600,22.03649064
318600,22.03649064
320400,22.01779895
320400,22.01779895
320400,22.01779895
322200,21.99465652
322200,21.99465652
322200,21.99465652
324000,21.98606929
324000,21.9860693
324000,21.9860693
325800,21.99366196
325800,21.99366196
325800,21.99366196
327600,22.00375634
327600,22.00375634
327600,22.00375634
329400,22.00617511
329400,22.00617511
329400,22.00617511
331200,22.0019443
331200,22.0019443
331200,22.0019443
333000,21.99765507
333000,21.99765507
333000,21.99765507
334800,21.99716014
334800,21.99716014
334800,21.99716014
336600,21.99931376
336600,21.99931376
336600,21.99931376
338400,22.0010731
338400,22.0010731
338400,22.0010731
340200,22.00101972
340200,22.00101972
340200,22.00101972
342000,21.9999594
342000,21.9999594
342000,21.9999594
343800,21.99925407
343800,21.99925407
343800,21.99925407
345600,21.99953499
345600,21.99953499
345600,21.99953499
347400,22.00017647
347400,22.00017647
347400,22.00017647
349200,22.00051516
349200,22.00051516
349200,22.00051516
351000,21.8309675
351000,21.83096749
351000,21.83096749
352800,21.65780521
352800,21.65780521
352800,21.65780521
354600,21.48554448
354600,21.48554448
354600,21.48554448
356400,21.44458555
356400,21.44458556
356400,21.44458556
358200,21.81316103
358200,21.81316104
358200,21.81316104
360000,22.03862972
360000,22.03862972
360000,22.03862972
361800,22.02362946
361800,22.02362946
361800,22.02362946
363600,22.35244759
363600,22.35244759
363600,22.35244759
365400,22.72299275
365400,22.72299276
365400,22.72299276
367200,22.73690713
367200,22.73690712
367200,22.73690712
369000,22.62806919
369000,22.62806919
369000,22.62806919
370800,22.55888268
370800,22.55888267
370800,22.55888267
372600,22.5263258
372600,22.5263258
372600,22.5263258
374400,22.52510053
374400,22.52510053
374400,22.52510053
376200,22.55568732
376200,22.55568732
376200,22.55568732
378000,22.614316
378000,22.61431601
378000,22.61431601
379800,22.68437503
379800,22.68437503
379800,22.68437503
381600,22.83257484
381600,22.83257486
381600,22.83257486
383400,23.15775614
383400,23.15775614
383400,23.15775614
385200,23.26756038
385200,23.26756038
385200,23.26756038
387000,23.37305804
387000,23.37305804
387000,23.37305804
388800,23.46810766
388800,23.46810766
388800,23.46810766
390600,23.54618066
390600,23.54618066
390600,23.54618066
392400,23.60129409
392400,23.60129409
392400,23.60129409
394200,23.62801369
394200,23.62801369
394200,23.62801369
396000,23.6232386
396000,23.6232386
396000,23.6232386
397800,23.58552029
397800,23.58552029
397800,23.58552029
399600,23.51184249
399600,23.51184249
399600,23.51184249
401400,23.40134765
401400,23.40134764
401400,23.40134764
403200,23.25992193
403200,23.25992192
403200,23.25992192
405000,23.10058348
405000,23.10058348
405000,23.10058348
406800,22.93384991
406800,22.93384991
406800,22.93384991
408600,22.76231053
408600,22.76231053
408600,22.76231053
410400,22.58617051
410400,22.58617051
410400,22.58617051
412200,22.40546377
412200,22.40546377
412200,22.40546377
414000,22.22187281
414000,22.22187281
414000,22.22187281
415800,22.03706376
415800,22.03706376
415800,22.03706376
417600,21.85122871
417600,21.8512287
417600,21.8512287
419400,21.664558
419400,21.66455799
419400,21.66455799
421200,21.47797381
421200,21.47797381
421200,21.47797381
423000,21.29238942
423000,21.29238941
423000,21.29238941
424800,21.10724788
424800,21.10724787
424800,21.10724787
426600,20.92199759
426600,20.92199759
426600,20.92199759
428400,20.73755532
428400,20.73755532
428400,20.73755532
430200,20.55486085
430200,20.55486085
430200,20.55486085
432000,20.37475422
432000,20.37475421
432000,20.37475421
433800,20.19816195
433800,20.19816195
433800,20.19816195
435600,20.02395903
435600,20.02395902
435600,20.02395902
437400,19.85103127
437400,19.85103127
437400,19.85103127
439200,19.6804715
439200,19.6804715
439200,19.6804715
441000,19.51336862
